Número do processo,UF,Assunto,Sub-assunto,Resultado macro,Resultado micro,Valor da causa,Valor da condenação/indenização,Contrato,Extrato,Comprovante de crédito,Dossiê,Demonstrativo de evolução da dívida,Laudo referenciado
5021176-46.2025.8.04.2420,AM,Não reconhece operação,Golpe,Não Êxito,Procedência,17848.46,9849.52,1,1,1,0,0,0
7933841-42.2025.8.22.0130,RO,Não reconhece operação,Genérico,Êxito,Improcedência,11317.73,0.0,1,1,1,1,1,1
3297234-14.2025.8.16.7561,PR,Não reconhece operação,Golpe,Êxito,Improcedência,19371.81,0.0,1,1,1,1,1,1
4395058-37.2025.8.12.7056,MS,Não reconhece operação,Golpe,Êxito,Extinção,6983.22,0.0,1,1,0,1,1,0
7435327-43.2025.8.12.6704,MS,Não reconhece operação,Genérico,Êxito,Improcedência,14499.31,0.0,1,1,0,1,1,0
3167254-14.2025.8.24.3971,SC,Não reconhece operação,Golpe,Êxito,Improcedência,14814.2,0.0,1,1,0,1,0,1
4951534-36.2025.8.04.8768,AM,Não reconhece operação,Genérico,Êxito,Improcedência,17339.77,0.0,1,0,1,1,1,1
3379303-26.2025.8.19.1510,RJ,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,9922.46,6060.7,1,0,1,0,1,1
2717231-26.2025.8.06.5552,CE,Não reconhece operação,Golpe,Êxito,Improcedência,5331.6,0.0,0,1,1,1,1,1
7760869-83.2025.8.04.8777,AM,Não reconhece operação,Genérico,Êxito,Extinção,15822.6,0.0,1,1,0,0,1,1
2192269-53.2025.8.15.5879,PB,Não reconhece operação,Golpe,Êxito,Improcedência,17565.3,0.0,1,1,1,1,1,1
2069098-62.2025.8.27.0039,TO,Não reconhece operação,Golpe,Êxito,Extinção,19925.61,0.0,1,1,0,1,1,1
5227758-23.2025.8.20.2761,RN,Não reconhece operação,Golpe,Êxito,Improcedência,13222.84,0.0,0,1,1,0,1,1
8702790-89.2025.8.22.4997,RO,Não reconhece operação,Genérico,Êxito,Improcedência,18788.34,0.0,1,1,1,1,1,0
