numero,uf,sub_assunto,valor_causa,contrato,extrato,comprovante_credito,dossie,demonstrativo_divida,laudo_referenciado,escritorio
0000786-88.2025.8.18.0067,PI,Golpe,14829.76,1,1,0,1,1,0,Escritório A
0001611-79.2025.8.08.0206,ES,Golpe,13052.98,1,1,1,1,1,1,Escritório B
0001936-31.2025.8.20.0235,RN,Genérico,27725.08,1,1,1,1,1,1,Escritório C
0002561-65.2025.8.24.0102,SC,Golpe,8402.36,1,1,0,1,0,1,Escritório A
0003364-40.2025.8.11.0157,MT,Golpe,14182.35,1,1,1,1,0,1,Escritório B
0003998-44.2025.8.04.0088,AM,Golpe,8052.98,1,1,0,0,0,1,Escritório C
0004528-98.2025.8.22.0071,RO,Golpe,12114.84,1,1,1,1,1,0,Escritório A
0004624-91.2025.8.12.0233,MS,Golpe,16983.05,1,0,0,0,1,0,Escritório B
0004760-17.2025.8.06.0052,CE,Genérico,17863.97,1,0,1,0,1,0,Escritório C
0004776-79.2025.8.26.0030,SP,Golpe,5561.84,0,0,1,0,1,0,Escritório A
0005474-85.2025.8.15.0129,PB,Genérico,9235.58,1,1,0,1,1,0,Escritório B
0005590-70.2025.8.10.0084,MA,Genérico,15586.56,1,1,1,1,0,1,Escritório C
0006145-60.2025.8.21.0285,RS,Genérico,12621.11,1,1,0,1,0,0,Escritório A
0006918-24.2025.8.16.0163,PR,Genérico,16000.2,0,1,0,1,0,1,Escritório B
0007513-10.2025.8.24.0160,SC,Golpe,7348.82,1,1,1,1,1,1,Escritório C
0008226-69.2025.8.27.0299,TO,Genérico,12013.79,1,1,1,0,0,1,Escritório A
0008624-25.2025.8.06.0097,CE,Golpe,30068.35,1,1,1,1,1,1,Escritório B
0009169-46.2025.8.17.0079,PE,Genérico,15555.38,0,0,0,0,0,0,Escritório C
0009676-66.2025.8.13.0160,MG,Golpe,8215.56,1,1,0,0,0,1,Escritório A
0009835-56.2025.8.11.0227,MT,Golpe,24263.57,1,1,1,1,1,1,Escritório B
0010173-38.2025.8.09.0210,GO,Golpe,9484.25,1,1,1,1,1,1,Escritório C
0010949-97.2025.8.14.0113,PA,Golpe,19149.37,1,0,0,1,0,1,Escritório A
0011036-42.2025.8.09.0291,GO,Genérico,12284.22,1,1,1,1,0,1,Escritório B
0011074-39.2025.8.14.0251,PA,Golpe,8142.0,0,0,0,0,0,0,Escritório C
0011609-64.2025.8.09.0167,GO,Golpe,13705.0,1,1,1,0,0,1,Escritório A
0012420-11.2025.8.09.0139,GO,Golpe,29752.95,1,1,1,1,1,1,Escritório B
0012727-95.2025.8.13.0092,MG,Genérico,16660.87,1,1,0,0,1,1,Escritório C
0012769-33.2025.8.22.0242,RO,Golpe,17585.1,0,0,0,1,1,0,Escritório A
0013661-55.2025.8.17.0217,PE,Genérico,19259.14,0,0,0,0,1,1,Escritório B
0014100-44.2025.8.15.0016,PB,Golpe,14652.17,1,1,1,1,1,1,Escritório C
0014815-33.2025.8.12.0287,MS,Golpe,11731.02,0,1,1,0,0,1,Escritório A
0015283-06.2025.8.27.0246,TO,Golpe,14576.64,1,1,0,1,1,1,Escritório B
0015766-96.2025.8.06.0124,CE,Genérico,3722.97,1,1,0,1,0,1,Escritório C
0015910-48.2025.8.11.0151,MT,Golpe,9249.57,1,1,1,0,0,0,Escritório A
0016179-36.2025.8.20.0087,RN,Golpe,17453.4,1,1,1,1,1,1,Escritório B
0017059-97.2025.8.27.0098,TO,Genérico,16525.09,1,1,1,1,1,0,Escritório C
0017455-96.2025.8.09.0285,GO,Golpe,10144.95,0,1,0,0,0,0,Escritório A
0017574-81.2025.8.21.0072,RS,Golpe,7553.48,1,1,1,1,0,1,Escritório B
0017925-76.2025.8.11.0090,MT,Golpe,21029.37,1,1,0,0,1,1,Escritório C
0018024-94.2025.8.17.0117,PE,Golpe,22264.89,1,1,1,1,1,1,Escritório A
0018438-52.2025.8.15.0116,PB,Golpe,31000,1,1,0,1,1,1,Escritório B
0018639-86.2025.8.20.0154,RN,Golpe,8977.12,1,1,0,0,0,1,Escritório C
0019491-29.2025.8.22.0260,RO,Genérico,21141.05,0,0,0,0,0,0,Escritório A
0019686-03.2025.8.12.0192,MS,Golpe,9479.9,1,1,1,1,1,1,Escritório B
0020567-51.2025.8.21.0249,RS,Golpe,12088.32,0,0,1,0,0,0,Escritório C
0021054-08.2025.8.04.0180,AM,Genérico,12398.52,1,1,1,1,1,1,Escritório A
0021703-17.2025.8.14.0043,PA,Golpe,16436.92,0,1,0,0,0,0,Escritório B
0021975-16.2025.8.08.0160,ES,Golpe,6539.95,1,1,1,1,0,1,Escritório C
0022362-39.2025.8.23.0184,RR,Golpe,7845.93,0,1,0,1,1,0,Escritório A
0023248-06.2025.8.12.0132,MS,Genérico,9454.9,1,1,0,0,0,1,Escritório B
0024144-64.2025.8.04.0199,AM,Genérico,7409.54,1,1,1,1,0,1,Escritório C
0024215-39.2025.8.12.0233,MS,Genérico,25899.55,1,1,0,1,1,0,Escritório A
0024292-87.2025.8.25.0006,SE,Golpe,10290.23,1,1,1,0,1,1,Escritório B
0024992-04.2025.8.03.0062,AP,Genérico,11436.24,1,0,1,1,0,0,Escritório C
0025027-18.2025.8.12.0157,MS,Genérico,8582.62,1,1,0,1,0,1,Escritório A
0025120-65.2025.8.04.0104,AM,Genérico,7591.97,0,1,0,0,1,0,Escritório B
0025689-77.2025.8.14.0269,PA,Golpe,11486.81,1,1,1,0,1,1,Escritório C
0025920-83.2025.8.22.0107,RO,Genérico,11298.08,0,0,0,0,0,0,Escritório A
0026327-63.2025.8.17.0193,PE,Golpe,19313.72,1,1,0,1,1,0,Escritório B
0027067-26.2025.8.11.0116,MT,Genérico,31000,1,1,1,1,1,1,Escritório C
0027496-43.2025.8.24.0047,SC,Genérico,5515.55,1,1,1,1,1,1,Escritório A
0028256-76.2025.8.11.0039,MT,Golpe,17790.46,1,1,1,0,1,1,Escritório B
0028276-76.2025.8.03.0011,AP,Genérico,13561.6,1,1,1,0,1,0,Escritório C
